type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2018-01-13 14:27:35,45.18607104,27.98600257,4,60.021,327.979,11.750,192,21,21,20180113-152735,GPS Logger: 20180113-152735
T,2018-01-13 14:27:36,45.18595839,27.98596985,3,60.022,327.978,12.000,192,21,21,,
T,2018-01-13 14:27:37,45.18585326,27.98593526,3,60.022,327.978,12.500,192,21,21,,
T,2018-01-13 14:27:38,45.18573433,27.98590169,3,60.023,327.977,13.000,192,21,21,,
T,2018-01-13 14:27:39,45.18560892,27.98586569,3,61.023,327.977,13.500,192,21,21,,
T,2018-01-13 14:27:40,45.18549184,27.98583522,3,60.024,327.976,14.250,191,21,21,,
T,2018-01-13 14:27:41,45.18536470,27.98579383,3,61.024,327.976,14.750,192,21,22,,
T,2018-01-13 14:27:42,45.18522111,27.98575135,4,61.025,327.975,14.750,192,21,22,,
T,2018-01-13 14:27:43,45.18509637,27.98571770,4,61.025,327.975,15.500,191,20,21,,
T,2018-01-13 14:27:44,45.18494716,27.98568023,4,62.026,327.974,15.750,190,20,22,,
T,2018-01-13 14:27:45,45.18481386,27.98566298,3,62.027,327.973,16.000,186,21,22,,
T,2018-01-13 14:27:46,45.18466507,27.98565440,3,62.027,327.973,16.250,182,21,22,,
T,2018-01-13 14:27:47,45.18450636,27.98566459,3,62.028,327.972,16.500,178,21,22,,
T,2018-01-13 14:27:48,45.18436570,27.98567693,4,61.029,327.971,16.500,176,20,21,,
T,2018-01-13 14:27:49,45.18421825,27.98571612,4,61.030,327.970,16.750,170,21,22,,
T,2018-01-13 14:27:50,45.18406320,27.98577893,4,60.030,327.970,16.750,165,20,21,,
T,2018-01-13 14:27:51,45.18392720,27.98586643,3,60.031,327.969,17.000,159,20,21,,
T,2018-01-13 14:27:52,45.18378071,27.98594629,5,60.032,327.968,17.000,159,20,21,,
T,2018-01-13 14:27:53,45.18365348,27.98608537,4,61.033,327.967,17.750,149,20,21,,
T,2018-01-13 14:27:54,45.18351584,27.98621733,3,61.033,327.967,18.250,146,20,21,,
T,2018-01-13 14:27:55,45.18337272,27.98636625,3,60.034,327.966,18.500,144,20,21,,
T,2018-01-13 14:27:56,45.18324879,27.98649620,3,60.035,327.965,18.750,144,20,21,,
T,2018-01-13 14:27:57,45.18311307,27.98664436,3,60.036,327.964,18.750,143,20,22,,
T,2018-01-13 14:27:58,45.18297293,27.98680792,3,60.037,327.963,18.500,140,20,22,,
